Car,MPG,Cylinder,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18,8,307.0,130,3504,12.0,70,US
Buick Skylark 320,15,8,350.0,165,3693,11.5,70,US
Plymouth Satellite,18,8,318.0,150,3436,11.0,70,US
AMC Rebel SST,16,8,304.0,150,3433,12.0,70,US
ford Torino,17,8,302.0,140,3449,10.5,70,US
Ford Galaxie 500,15,8,429.0,198,4341,10.0,70,US
Chevrolet Impala,14,8,454.0,220,4354,9.0,70,US
Plymouth Fury iii,14,8,440.0,215,4312,8.5,70,US
Pontiac Catalina,14,8,455.0,225,4425,10.0,70,US
AMC Ambassador DPL,15,8,390.0,190,3850,8.5,70,US
Citroen DS-21 Pallas,0,4,133.0,115,3090,17.5,70,Europe
Chevrolet Chevelle Concours (sw),0,8,350.0,165,4142,11.5,70,US
Ford Torino (sw),0,8,351.0,153,4034,11.0,70,US
Plymouth Satellite (sw),0,8,383.0,175,4166,10.5,70,US
AMC Rebel SST (sw),0,8,360.0,175,3850,11.0,70,US
Dodge Challenger SE,15,8,383.0,170,3563,10.0,70,US
Plymouth 'Cuda 340,14,8,340.0,160,3609,8.0,70,US
Ford Mustang Boss 302,0,8,302.0,140,3353,8.0,70,US
Chevrolet Monte Carlo,15,8,400.0,150,3761,9.5,70,US
Buick Estate Wagon (sw),14,8,455.0,225,3086,10.0,70,US
Toyota Corolla Mark ii,24,4,113.0,95,2372,15.0,70,Japan
Plymouth Duster,22,6,198.0,95,2833,15.5,70,US
AMC Hornet,18,6,199.0,97,2774,15.5,70,US
Ford Maverick,21,6,200.0,85,2587,16.0,70,us
Datsun PL510,27,4,97.0,88,2130,14.5,70,Japan
Volkswagen 1131 Deluxe Sedan,26,4,97.0,46,1835,20.5,70,Europe
Peugeot 504,25,4,110.0,87,2672,17.5,70,Europe
Audi 100 LS,24,4,107.0,90,2430,14.5,70,Europe
Saab 99e,25,4,104.0,95,2375,17.5,70,Europe
BMW 2002,26,4,121.0,113,2234,12.5,70,Europe
AMC Gremlin,21,6,199.0,90,2648,15.0,70,US
Ford F250,10,8,360.0,215,4615,14.0,70,US
Chevy C20,10,8,307.0,200,4376,15.0,70,US
Dodge D200,11,8,318.0,210,4382,13.5,70,US
Hi 1200D,9,8,304.0,193,4732,18.5,70,US
Datsun PL510,27,4,97.0,88,2130,14.5,71,Japan
Chevrolet Vega 2300,28,4,140.0,90,2264,15.5,71,US
Toyota Corolla,25,4,113.0,95,2228,14.0,71,Japan
Ford Pinto,25,4,98.0,0,2046,19.0,71,US
Volkswagen Super Beetle 117,0,4,97.0,48,1978,20.0,71,Europe
AMC Gremlin,19,6,232.0,100,2634,13.0,71,USA
Plymouth Satellite Custom,16,6,225.0,105,3439,15.5,71,US
Chevrolet Chevelle Malibu,17,6,250.0,100,3329,15.5,71,US
Ford Torino 500,19,6,250.0,88,3302,15.5,71,US
AMC Matador,18,6,232.0,100,3288,15.5,71,US
Chevrolet Impala,14,8,350.0,165,4209,12.0,71,US
Pontiac Catalina Brougham,14,8,400.0,175,4464,11.5,71,US
Ford Galaxie 500,14,8,351.0,153,4154,13.5,71,US
Plymouth Fury iii,14,8,318.0,150,4096,13.0,71,US
Dodge Monaco (sw),12,8,383.0,180,4955,11.5,71,US
Ford Country Squire (sw),13,8,400.0,170,4746,12.0,71,US
Pontiac Safari (sw),13,8,400.0,175,5140,12.0,71,US
AMC Hornet Sportabout (sw),18,6,258.0,110,2962,13.5,71,US
Chevrolet Vega (sw),22,4,140.0,72,2408,19.0,71,US
Pontiac Firebird,19,6,250.0,100,3282,15.0,71,US
Ford Mustang,18,6,250.0,88,3139,14.5,71,US
Mercury Capri 2000,23,4,122.0,86,2220,14.0,71,US
Opel 1900,28,4,116.0,90,2123,14.0,71,Europe
Peugeot 304,30,4,79.0,70,2074,19.5,71,Europe
Fiat 124B,30,4,88.0,76,2065,14.5,71,Europe
Toyota Corolla 1200,31,4,71.0,65,1773,19.0,71,Japan
Datsun 1200,35,4,72.0,69,1613,18.0,71,Japan
Volkswagen Model 111,27,4,97.0,60,1834,19.0,71,Europe
Plymouth Cricket,26,4,91.0,70,1955,20.5,71,US
Toyota Corolla Hardtop,24,4,113.0,95,2278,15.5,72,Japan
Dodge Colt Hardtop,25,4,97.5,80,2126,17.0,72,US
Volkswagen Type 3,23,4,97.0,54,2254,23.5,72,Europe
Chevrolet Vega,20,4,140.0,90,2408,19.5,72,US
Ford Pinto Runabout,21,4,122.0,86,2226,16.5,72,US
Chevrolet Impala,13,8,350.0,165,4274,12.0,72,US
Pontiac Catalina,14,8,400.0,175,4385,12.0,72,US
Plymouth Fury III,15,8,318.0,150,4135,13.5,72,US
Ford Galaxie 500,14,8,351.0,153,4129,13.0,72,US
AMC Ambassador SST,17,8,304.0,150,3672,11.5,72,US
Mercury Marquis,11,8,429.0,208,4633,11.0,72,US
Buick LeSabre Custom,13,8,350.0,155,4502,13.5,72,US
Oldsmobile Delta 88 Royale,12,8,350.0,160,4456,13.5,72,US
Chrysler Newport Royal,13,8,400.0,190,4422,12.5,72,US
Mazda RX2 Coupe,19,3,70.0,97,2330,13.5,72,Japan
AMC Matador (sw),15,8,304.0,150,3892,12.5,72,US
Chevrolet Chevelle Concours (sw),13,8,307.0,130,4098,14.0,72,US
Ford Gran Torino (sw),13,8,302.0,140,4294,16.0,72,US
Plymouth Satellite Custom (sw),14,8,318.0,150,4077,14.0,72,US
Volvo 145e (sw),18,4,121.0,112,2933,14.5,72,Europe
Volkswagen 411 (sw),22,4,121.0,76,2511,18.0,72,Europe
Peugeot 504 (sw),21,4,120.0,87,2979,19.5,72,Europe
Renault 12 (sw),26,4,96.0,69,2189,18.0,72,Europe
Ford Pinto (sw),22,4,122.0,86,2395,16.0,72,usa
Datsun 510 (sw),28,4,97.0,92,2288,17.0,72,Japan
Toyota Corolla Mark II (sw),23,4,120.0,97,2506,14.5,72,Japan
Dodge Colt (sw),28,4,98.0,80,2164,15.0,72,US
Toyota Corolla 1600 (sw),27,4,97.0,88,2100,16.5,72,Japan
Buick Century 350,13,8,350.0,175,4100,13.0,73,US
AMC Matador,14,8,304.0,150,3672,11.5,73,US
Chevrolet Malibu,13,8,350.0,145,3988,13.0,73,US
Ford Gran Torino,14,8,302.0,137,4042,14.5,73,US
Dodge Coronet Custom,15,8,318.0,150,3777,12.5,73,US
Mercury Marquis Brougham,12,8,429.0,198,4952,11.5,73,US
Chevrolet Caprice Classic,13,8,400.0,150,4464,12.0,73,US
Ford LTD,13,8,351.0,158,4363,13.0,73,US
Plymouth Fury Gran Sedan,14,8,318.0,150,4237,14.5,73,US
Chrysler New Yorker Brougham,13,8,440.0,215,4735,11.0,73,US
Buick Electra 225 Custom,12,8,455.0,225,4951,11.0,73,US
AMC Ambassador Brougham,13,8,360.0,175,3821,11.0,73,US
Plymouth Valiant,18,6,225.0,105,3121,16.5,73,US
Chevrolet Nova Custom,16,6,250.0,100,3278,18.0,73,US
AMC Hornet,18,6,232.0,100,2945,16.0,73,US
Ford Maverick,18,6,250.0,88,3021,16.5,73,US
Plymouth Duster,23,6,198.0,95,2904,16.0,73,US
Volkswagen Super Beetle,26,4,97.0,46,1950,21.0,73,Europe
Chevrolet Impala,11,8,400.0,150,4997,14.0,73,US
Ford Country,12,8,400.0,167,4906,12.5,73,US
Plymouth Custom Suburb,13,8,360.0,170,4654,13.0,73,US
Oldsmobile Vista Cruiser,12,8,350.0,180,4499,12.5,73,US
AMC Gremlin,18,6,232.0,100,2789,15.0,73,US
Toyota Camry,20,4,97.0,88,2279,19.0,73,Japan
Chevrolet Vega,21,4,140.0,72,2401,19.5,73,US
Datsun 610,22,4,108.0,94,2379,16.5,73,Japan
Mazda RX3,18,3,70.0,90,2124,13.5,73,japan
Ford Pinto,19,4,122.0,85,2310,18.5,73,US
Mercury Capri v6,21,6,155.0,107,2472,14.0,73,US
Fiat 124 Sport Coupe,26,4,98.0,90,2265,15.5,73,Europe
Chevrolet Monte Carlo S,15,8,350.0,145,4082,13.0,73,US
Pontiac Grand Prix,16,8,400.0,230,4278,9.5,73,US
Fiat 128,29,4,68.0,49,1867,19.5,73,Europe
Opel Manta,24,4,116.0,75,2158,15.5,73,Europe
Audi 100LS,20,4,114.0,91,2582,14.0,73,Europe
Volvo 144ea,19,4,121.0,112,2868,15.5,73,Europe
Dodge Dart Custom,15,8,318.0,150,3399,11.0,73,US
Saab 99le,24,4,121.0,110,2660,14.0,73,Europe
Toyota Mark II,20,6,156.0,122,2807,13.5,73,Japan
Oldsmobile Omega,11,8,350.0,180,3664,11.0,73,US
Plymouth Duster,20,6,198.0,95,3102,16.5,74,US
Ford Maverick,21,6,200.0,0,2875,17.0,74,US
AMC Hornet,19,6,232.0,100,2901,16.0,74,US
Chevrolet Nova,15,6,250.0,100,3336,17.0,74,US
